,school_name,faculty_name,affiliation,citedby5y,hindex,hindex5y,i10index,i10index5y
156,Stanford,Carla Shatz,Professor of Biology and Neurobiology Stanford University,5743,94,42,147,91
157,Stanford,Kang Shen,"Graduate Student, Kang Shen Lab, Stanford University",144,4,4,4,4
158,Stanford,Jan Skotheim,"Professor of Biology, Stanford University",5545,40,35,54,52
159,Stanford,Alice Ting,Stanford,13191,67,52,102,91
160,Stanford,Shripad Tuljapurkar,"Professor of Biology, Stanford University",4429,57,37,137,92
161,Stanford,Virginia Walbot,"Professor of Biology, Stanford University",6073,89,39,260,97
162,Westlake,Lei Wang,"Bioenergy and Materials Lab (BEM), School of Engineering, Westlake University",1189,19,18,22,22
163,Westlake,Xianjue Ma,Westlake University,413,12,12,12,12
164,Westlake,Pavlos SAVVIDIS,"University of Crete, FORTH-IESL, Greece, Westlake University, China",3011,39,30,73,60
165,Westlake,Congjun Wu,"Chair Professor of Physics,Westlake University, Hangzhou, China",4323,50,35,106,84
166,Westlake,Yue Zhang,Westlake University,10398,57,55,169,161
167,Westlake,Lan Li,Westlake University,1569,20,19,26,25
168,Westlake,Chengchen Guo,Westlake University,1328,21,21,30,30
169,Westlake,Xing Gu,"Assistant Professor in Mathematics, Westlake University",54,4,4,3,3
170,Westlake,Stan Z. Li,Westlake University & Chinese Academy of Sciences,30222,133,84,290,223
171,Westlake,Xing Chang,Westlake University;,1744,24,17,32,23
172,Westlake,Biaobiao Zhang,"Center of Artificial Photosynthesis for Solar Fuels,​ School of Science, Westlake University",2687,27,26,42,42
173,Westlake,Zhaobin Wang,Westlake University,1729,20,20,23,23
174,Westlake,Zixu Liu,Westlake University,1513,7,7,7,7
175,Westlake,Kai Lei,Westlake University,815,10,10,10,10
176,Westlake,Jie-Min Jia,"Westlake Institute for Advanced Study, Hangzhou, China",482,10,9,10,8
177,Westlake,Nanjia Zhou,Westlake University,4314,32,31,43,41
178,Westlake,Houfeng Zheng,Westlake University,4758,35,31,50,45
179,Westlake,Xiaofei Li,"Westlake University, China",831,19,18,30,27
180,Westlake,Zhen Yan,"PI, Westlake University",1847,11,11,12,12
181,Westlake,Zhubing SHI,Westlake University,1806,20,17,25,21
182,Westlake,Huaimin Wang,Westlake University,3828,43,36,74,69
183,Westlake,Tao Lin,Westlake University | EPFL,1894,18,18,22,22
184,Westlake,Feng Ju,"Environmental Microbiome and Biotechnology Laboratory (EMBLab), Westlake University",3779,28,27,40,39
185,Westlake,Wenjie Dou,Westlake University,659,16,16,22,22
186,Westlake,Ruixue Wan,Westlake university,1637,17,16,17,17
187,Westlake,Licheng Sun,"Chair Professor at Westlake University, China; Professor at KTH, Sweden",33788,121,85,623,497
188,Westlake,Shiyu Zhao,Westlake University,2081,27,23,48,46
189,Westlake,Qi Hu,Westlake University,923,13,12,13,12
190,Westlake,Xiao Lin,Westlake University,1522,24,18,33,23
191,Westlake,Hang Shi,Westlake University,805,13,13,15,15
192,Westlake,Dapeng Li,Westlake University,2174,23,22,30,29
193,Westlake,Jianhui Wang,"Principle Investigator at WESLab, Westlake University, China",2407,19,14,22,19
194,Westlake,Bobo Dang,Westlake University,651,12,11,13,12
195,Westlake,Ying Zhen,"Princeton, UCLA, Westlake University",580,13,13,15,15
196,Westlake,Shi Liu,Westlake University,3146,30,27,47,45
197,Westlake,Xiao Li,Westlake University,54,4,4,2,2
198,Westlake,Mingxuan Wu，,Westlake University,770,14,14,15,14
199,Westlake,Jie Wu,"Professor of Physics, Westlake University",1146,18,14,31,21
200,Westlake,Liang Lei,Westlake University,659,15,15,17,17
201,Westlake,Siying Peng,Westlake University,235,7,6,5,4
202,Westlake,Duanqing Pei,Westlake University,11310,81,52,220,187
203,Westlake,Qiyang Lu,Westlake University,1440,19,19,25,25
204,Westlake,Ziyang Zhang,"Associate Professor, Westlake University",997,25,18,53,29
205,Westlake,Yanxiao ZHANG,Westlake University,2341,18,17,21,21
206,Westlake,Xiaodong (Ethan) Liu,Westlake University,664,11,11,12,11
207,Westlake,Peiguo Yang,"Westlake University, HangZhou, China",1650,17,16,17,17
208,Westlake,Enzheng Shi,"Asssitant Professor, Westlake University, School of Engineering",3935,36,31,59,54
209,Westlake,Xiao Yang,"Assistant Professor, Westlake University",446,16,13,19,18
210,Westlake,Yilong Zou,Westlake University,3839,19,19,20,20
211,Westlake,Zhenzhong Lan,"School of Engineering, Westlake University",5640,21,16,31,23
212,Westlake,Dianyi Liu,"Westlake University, Hangzhou, China",4005,19,18,21,19
213,Westlake,Rui Wang,"Assistant Professor, School of Engineering, Westlake University",4847,32,32,43,43
214,Westlake,Lijia Ma,Westlake University,14944,30,25,35,34
215,Westlake,Jing Huang,"Assistant Professor, Westlake University",6684,25,24,40,36
216,Westlake,Xin Yuan,"Westlake University, Bell Labs, Duke University, Hong Kong Polytechnic University",5214,41,39,108,96
